Estacion;Fecha;Hora;Carril 1 ligeros ;Carril 1 pesados;Carril 2 ligeros ;Carril 2 pesados;Carril 3 ligeros ;Carril 3 pesados;Carril 4 ligeros ;Carril 4 pesados;Carril 5 ligeros ;Carril 5 pesados;Carril 6 ligeros ;Carril 6 pesados
00001 ; 13/10/2025 ; 01:00 ; 00026 ; 00003 ; 00000 ; 00000 ; 00000 ; 00000 ; 00019 ; 00000 ; 00007 ; 00000 ; 00000 ; 00000
00001 ; 13/10/2025 ; 02:00 ; 00019 ; 00001 ; 00000 ; 00000 ; 00000 ; 00000 ; 00004 ; 00001 ; 00004 ; 00000 ; 00000 ; 00000
00001 ; 13/10/2025 ; 03:00 ; 00014 ; 00000 ; 00000 ; 00000 ; 00000 ; 00000 ; 00007 ; 00001 ; 00000 ; 00001 ; 00000 ; 00000
00001 ; 13/10/2025 ; 04:00 ; 00008 ; 00003 ; 00000 ; 00000 ; 00000 ; 00000 ; 00004 ; 00000 ; 00001 ; 00001 ; 00000 ; 00000
00001 ; 13/10/2025 ; 05:00 ; 00025 ; 00001 ; 00000 ; 00000 ; 00000 ; 00000 ; 00013 ; 00002 ; 00011 ; 00000 ; 00000 ; 00000
00001 ; 13/10/2025 ; 06:00 ; 00133 ; 00003 ; 00000 ; 00000 ; 00000 ; 00000 ; 00068 ; 00009 ; 00033 ; 00002 ; 00000 ; 00000
00001 ; 13/10/2025 ; 07:00 ; 00211 ; 00018 ; 00000 ; 00000 ; 00000 ; 00000 ; 00137 ; 00016 ; 00084 ; 00006 ; 00000 ; 00000
00001 ; 13/10/2025 ; 08:00 ; 00612 ; 00045 ; 00000 ; 00000 ; 00000 ; 00000 ; 00591 ; 00032 ; 00377 ; 00021 ; 00000 ; 00000
00001 ; 13/10/2025 ; 09:00 ; 00760 ; 00065 ; 00000 ; 00000 ; 00000 ; 00000 ; 00643 ; 00056 ; 00380 ; 00022 ; 00000 ; 00000
00001 ; 13/10/2025 ; 10:00 ; 00612 ; 00059 ; 00000 ; 00000 ; 00000 ; 00000 ; 00435 ; 00041 ; 00267 ; 00017 ; 00000 ; 00000
00001 ; 13/10/2025 ; 11:00 ; 00639 ; 00067 ; 00000 ; 00000 ; 00000 ; 00000 ; 00342 ; 00046 ; 00205 ; 00009 ; 00000 ; 00000
00001 ; 13/10/2025 ; 12:00 ; 00704 ; 00066 ; 00000 ; 00000 ; 00000 ; 00000 ; 00454 ; 00042 ; 00200 ; 00011 ; 00000 ; 00000
00001 ; 13/10/2025 ; 13:00 ; 00688 ; 00059 ; 00000 ; 00000 ; 00000 ; 00000 ; 00522 ; 00036 ; 00193 ; 00014 ; 00000 ; 00000
00001 ; 13/10/2025 ; 14:00 ; 00774 ; 00036 ; 00000 ; 00000 ; 00000 ; 00000 ; 00515 ; 00033 ; 00227 ; 00009 ; 00000 ; 00000
00001 ; 13/10/2025 ; 15:00 ; 00782 ; 00028 ; 00000 ; 00000 ; 00000 ; 00000 ; 00531 ; 00031 ; 00248 ; 00018 ; 00000 ; 00000
00001 ; 13/10/2025 ; 16:00 ; 00874 ; 00051 ; 00000 ; 00000 ; 00000 ; 00000 ; 00463 ; 00033 ; 00192 ; 00009 ; 00000 ; 00000
00001 ; 13/10/2025 ; 17:00 ; 00870 ; 00055 ; 00000 ; 00000 ; 00000 ; 00000 ; 00513 ; 00035 ; 00256 ; 00015 ; 00000 ; 00000
00001 ; 13/10/2025 ; 18:00 ; 01108 ; 00055 ; 00000 ; 00000 ; 00000 ; 00000 ; 00655 ; 00034 ; 00268 ; 00014 ; 00000 ; 00000
00001 ; 13/10/2025 ; 19:00 ; 00983 ; 00039 ; 00000 ; 00000 ; 00000 ; 00000 ; 00679 ; 00017 ; 00224 ; 00009 ; 00000 ; 00000
00001 ; 13/10/2025 ; 20:00 ; 00699 ; 00027 ; 00000 ; 00000 ; 00000 ; 00000 ; 00459 ; 00016 ; 00173 ; 00010 ; 00000 ; 00000
00001 ; 13/10/2025 ; 21:00 ; 00477 ; 00011 ; 00000 ; 00000 ; 00000 ; 00000 ; 00314 ; 00011 ; 00125 ; 00005 ; 00000 ; 00000
00001 ; 13/10/2025 ; 22:00 ; 00279 ; 00010 ; 00000 ; 00000 ; 00000 ; 00000 ; 00145 ; 00007 ; 00077 ; 00005 ; 00000 ; 00000
00001 ; 13/10/2025 ; 23:00 ; 00187 ; 00005 ; 00000 ; 00000 ; 00000 ; 00000 ; 00122 ; 00007 ; 00034 ; 00001 ; 00000 ; 00000
00001 ; 13/10/2025 ; 24:00 ; 00057 ; 00003 ; 00000 ; 00000 ; 00000 ; 00000 ; 00031 ; 00003 ; 00011 ; 00001 ; 00000 ; 00000
00001 ; 14/10/2025 ; 01:00 ; 00023 ; 00001 ; 00000 ; 00000 ; 00000 ; 00000 ; 00013 ; 00001 ; 00007 ; 00001 ; 00000 ; 00000
00001 ; 14/10/2025 ; 02:00 ; 00014 ; 00002 ; 00000 ; 00000 ; 00000 ; 00000 ; 00017 ; 00000 ; 00004 ; 00000 ; 00000 ; 00000
00001 ; 14/10/2025 ; 03:00 ; 00009 ; 00001 ; 00000 ; 00000 ; 00000 ; 00000 ; 00007 ; 00001 ; 00004 ; 00000 ; 00000 ; 00000
00001 ; 14/10/2025 ; 04:00 ; 00015 ; 00002 ; 00000 ; 00000 ; 00000 ; 00000 ; 00003 ; 00002 ; 00004 ; 00000 ; 00000 ; 00000
00001 ; 14/10/2025 ; 05:00 ; 00031 ; 00002 ; 00000 ; 00000 ; 00000 ; 00000 ; 00017 ; 00000 ; 00012 ; 00000 ; 00000 ; 00000
00001 ; 14/10/2025 ; 06:00 ; 00133 ; 00003 ; 00000 ; 00000 ; 00000 ; 00000 ; 00055 ; 00005 ; 00034 ; 00001 ; 00000 ; 00000
00001 ; 14/10/2025 ; 07:00 ; 00224 ; 00018 ; 00000 ; 00000 ; 00000 ; 00000 ; 00144 ; 00014 ; 00100 ; 00004 ; 00000 ; 00000
00001 ; 14/10/2025 ; 08:00 ; 00643 ; 00050 ; 00000 ; 00000 ; 00000 ; 00000 ; 00600 ; 00039 ; 00402 ; 00018 ; 00000 ; 00000
