Fecha;Hora;Sistema;ETD;Detector;0-50 (km/h);50-80 (km/h);80-120 (km/h);120-255 (km/h);Velocidad media (km/h);0-6 (m);6-999 (m);Vehículos totales;
2025-10-13;01:00:00 - 01:30:00;GI-2120;[GI-2120] 97-ETD NAVARRA-BEASAIN, GI-2120 pk 60,900, GI-2120 pk 63,400;Lento NAVARRA;0;0;0;0;0,0;0;0;0;
2025-10-13;01:00:00 - 01:30:00;GI-2120;[GI-2120] 97-ETD NAVARRA-BEASAIN, GI-2120 pk 60,900, GI-2120 pk 63,400;Lento BEASAIN;0;2;0;0;65;1;1;2;
2025-10-13;01:00:00 - 01:30:00;GI-20;[GI-20] 116-ETD ERRENTERIA AP-8-USURBIL, AP-8, GI-20 pk 9,800, GI-20 pk 10,900;Central USURBIL, AP-8;0;11;39;0;92,3;44;6;50;
2025-10-13;01:00:00 - 01:30:00;GI-20;[GI-20] 116-ETD ERRENTERIA AP-8-USURBIL, AP-8, GI-20 pk 9,800, GI-20 pk 10,900;Lento USURBIL, AP-8;0;9;11;1;86,9;20;1;21;
2025-10-13;01:00:00 - 01:30:00;GI-20;[GI-20] 116-ETD ERRENTERIA AP-8-USURBIL, AP-8, GI-20 pk 9,800, GI-20 pk 10,900;Lento ERRENTERIA AP-8;2;11;0;0;58,85;12;1;13;
2025-10-13;01:00:00 - 01:30:00;GI-20;[GI-20] 116-ETD ERRENTERIA AP-8-USURBIL, AP-8, GI-20 pk 9,800, GI-20 pk 10,900;Rápido USURBIL, AP-8;0;0;5;1;106,67;6;0;6;
2025-10-13;01:00:00 - 01:30:00;GI-20;[GI-20] 116-ETD ERRENTERIA AP-8-USURBIL, AP-8, GI-20 pk 9,800, GI-20 pk 10,900;Rápido ERRENTERIA AP-8;0;4;0;0;65;4;0;4;
2025-10-13;01:00:00 - 01:30:00;GI-20;[GI-20] 116-ETD ERRENTERIA AP-8-USURBIL, AP-8, GI-20 pk 9,800, GI-20 pk 10,900;Central ERRENTERIA AP-8;2;47;0;0;63,37;43;6;49;
2025-10-13;01:00:00 - 01:30:00;GI-40;[GI-40] 287-ETD ROTONDA GARBERA-A LA GI-41, GI-40 pk 0,000, GI-40 pk 1,900;Lento A LA GI-41;0;22;3;0;69,2;22;3;25;
2025-10-13;01:00:00 - 01:30:00;GI-40;[GI-40] 287-ETD ROTONDA GARBERA-A LA GI-41, GI-40 pk 0,000, GI-40 pk 1,900;Lento ROTONDA GARBERA;0;22;3;0;69,2;23;2;25;
2025-10-13;01:00:00 - 01:30:00;GI-40;[GI-40] 287-ETD ROTONDA GARBERA-A LA GI-41, GI-40 pk 0,000, GI-40 pk 1,900;Central ROTONDA GARBERA;0;0;0;0;0,0;0;0;0;
2025-10-13;01:00:00 - 01:30:00;GI-40;[GI-40] 287-ETD ROTONDA GARBERA-A LA GI-41, GI-40 pk 0,000, GI-40 pk 1,900;Central A LA GI-41;0;2;1;0;76,67;3;0;3;
2025-10-13;01:00:00 - 01:30:00;GI-20;[GI-20] 249-ETD USURBIL, AP-8-ERRENTERIA AP-8, GI-20 pk 13,800, GI-20 pk 15,900;Lento ERRENTERIA AP-8;0;5;0;0;65;4;1;5;
2025-10-13;01:00:00 - 01:30:00;GI-20;[GI-20] 249-ETD USURBIL, AP-8-ERRENTERIA AP-8, GI-20 pk 13,800, GI-20 pk 15,900;Central ERRENTERIA AP-8;0;4;16;0;93;18;2;20;
2025-10-13;01:00:00 - 01:30:00;GI-20;[GI-20] 249-ETD USURBIL, AP-8-ERRENTERIA AP-8, GI-20 pk 13,800, GI-20 pk 15,900;Lento USURBIL, AP-8;4;11;0;0;54,33;13;2;15;
2025-10-13;01:00:00 - 01:30:00;GI-20;[GI-20] 249-ETD USURBIL, AP-8-ERRENTERIA AP-8, GI-20 pk 13,800, GI-20 pk 15,900;Central USURBIL, AP-8;0;4;25;0;95,17;28;1;29;
2025-10-13;01:00:00 - 01:30:00;GI-20;[GI-20] 249-ETD USURBIL, AP-8-ERRENTERIA AP-8, GI-20 pk 13,800, GI-20 pk 15,900;Rápido USURBIL, AP-8;0;0;11;0;100;11;0;11;
2025-10-13;01:00:00 - 01:30:00;GI-636;[GI-636] 102-ETD PASAIA-PTE. BEHOBIA, GI-636 pk 15,300, GI-636 pk 17,000;Lento PASAIA;9;15;0;0;50;23;1;24;
2025-10-13;01:00:00 - 01:30:00;GI-636;[GI-636] 102-ETD PASAIA-PTE. BEHOBIA, GI-636 pk 15,300, GI-636 pk 17,000;Lento PTE. BEHOBIA;10;5;0;0;38,33;13;2;15;
2025-10-13;01:00:00 - 01:30:00;N-I;[N-I] 168-ETD VITORIA-GASTEIZ-LASARTE-ORIA, N-I pk 412,500, N-I pk 417,900;Central VITORIA-GASTEIZ;0;0;4;1;108;4;1;5;
2025-10-13;01:00:00 - 01:30:00;N-I;[N-I] 168-ETD VITORIA-GASTEIZ-LASARTE-ORIA, N-I pk 412,500, N-I pk 417,900;Lento VITORIA-GASTEIZ;0;1;57;5;102,62;25;38;63;
2025-10-13;01:00:00 - 01:30:00;N-I;[N-I] 168-ETD VITORIA-GASTEIZ-LASARTE-ORIA, N-I pk 412,500, N-I pk 417,900;Lento LASARTE-ORIA;0;6;32;3;97,8;22;19;41;
2025-10-13;01:00:00 - 01:30:00;N-I;[N-I] 168-ETD VITORIA-GASTEIZ-LASARTE-ORIA, N-I pk 412,500, N-I pk 417,900;Central LASARTE-ORIA;0;0;3;0;100;2;1;3;
2025-10-13;01:00:00 - 01:30:00;GI-627;[GI-627] 52-ETD ARABA-EIBAR, GI-627 pk 19,300, GI-627 pk 27,200;Lento ARABA;0;1;0;0;65;1;0;1;
2025-10-13;01:00:00 - 01:30:00;GI-3440;[GI-3440] 77-ETD LEZO-HONDARRIBIA, GI-3440 pk 0,000, GI-3440 pk 19,100;Lento HONDARRIBIA;2;0;0;0;25;2;0;2;
2025-10-13;01:00:00 - 01:30:00;GI-3440;[GI-3440] 77-ETD LEZO-HONDARRIBIA, GI-3440 pk 0,000, GI-3440 pk 19,100;Lento LEZO;0;0;0;0;0,0;0;0;0;
2025-10-13;01:00:00 - 01:30:00;A-15;[A-15] 120-ETD ANDOAIN-SAN SEBASTIÁN, A-15 pk 162,100, A-15 pk 164,300;Lento SAN SEBASTIÁN;0;12;31;8;98,04;26;25;51;
2025-10-13;01:00:00 - 01:30:00;A-15;[A-15] 120-ETD ANDOAIN-SAN SEBASTIÁN, A-15 pk 162,100, A-15 pk 164,300;Central SAN SEBASTIÁN;0;0;2;0;100;2;0;2;
2025-10-13;01:00:00 - 01:30:00;A-15;[A-15] 120-ETD ANDOAIN-SAN SEBASTIÁN, A-15 pk 162,100, A-15 pk 164,300;Central ANDOAIN;0;0;0;3;140;3;0;3;
2025-10-13;01:00:00 - 01:30:00;A-15;[A-15] 120-ETD ANDOAIN-SAN SEBASTIÁN, A-15 pk 162,100, A-15 pk 164,300;Lento ANDOAIN;0;1;55;11;106,04;29;38;67;
2025-10-13;01:00:00 - 01:30:00;N-638;[N-638] 118-ETD HONDARRIBIA-IRUN, N-638 pk 1,000, N-638 pk 2,400;Lento IRUN;0;16;2;0;68,89;18;0;18;
2025-10-13;01:00:00 - 01:30:00;N-638;[N-638] 118-ETD HONDARRIBIA-IRUN, N-638 pk 1,000, N-638 pk 2,400;Lento HONDARRIBIA;2;16;2;0;64,5;19;1;20;
2025-10-13;01:00:00 - 01:30:00;GI-2630;[GI-2630] 82-ETD URRETXU-BERGARA, GI-2630 pk 13,800, GI-2630 pk 20,200;Lento BERGARA;0;2;0;0;65;2;0;2;
2025-10-13;01:00:00 - 01:30:00;GI-2630;[GI-2630] 82-ETD URRETXU-BERGARA, GI-2630 pk 13,800, GI-2630 pk 20,200;Lento URRETXU;0;1;0;0;65;1;0;1;
2025-10-13;01:00:00 - 01:30:00;N-121-A;[N-121-A] 288-ETD BEHOBIA, GI-636-NAVARRA, N-121-A pk 68,400, N-121-A pk 74,500;Lento NAVARRA;0;0;10;0;100;3;7;10;
2025-10-13;01:00:00 - 01:30:00;N-121-A;[N-121-A] 288-ETD BEHOBIA, GI-636-NAVARRA, N-121-A pk 68,400, N-121-A pk 74,500;Lento BEHOBIA, GI-636;0;2;8;0;93;5;5;10;
2025-10-13;01:00:00 - 01:30:00;N-121-A;[N-121-A] 288-ETD BEHOBIA, GI-636-NAVARRA, N-121-A pk 68,400, N-121-A pk 74,500;Central BEHOBIA, GI-636;0;2;7;1;97;6;4;10;
