System;ETD code;System code;Description;Country code;Country;Municipality code;Municipality;Territory code;Territory;Postal code;GPSX;GPSY;X;Y
GI-2132 ; 1 ; 1 ; [GI-2132] 1-ETD LASARTE-ORIA-ASTIGARRAGA, GI-2132 pk 0,000, GI-2132 pk 1,000 ; 108 ; España ;  ;  ; 20 ; Gipuzkoa ;  ; 580428.65 ; 4792191.27 ; -2.008765 ; 43.278246 ; 
GI-636 ; 3 ; 1 ; [GI-636] 3-ETD PASAIA-IRUN, GI-636 pk 7,900, GI-636 pk 9,600 ; 108 ; España ; 53 ; LEZO ; 20 ; Gipuzkoa ; 20100 ; 594584.89 ; 4798000.13 ; -1.83333 ; 43.328896 ; 
N-634 ; 11 ; 1 ; [N-634] 11-ETD SAN SEBASTIÁN-SANTANDER, N-634 pk 60,700, N-634 pk 62,000 ; 108 ; España ; 30 ; EIBAR ; 20 ; Gipuzkoa ; 20600 ; 545592.28 ; 4782339.1 ; -2.438889 ; 43.192449 ; 
N-I ; 12 ; 1 ; [N-I] 12-ETD VITORIA-GASTEIZ-LASARTE-ORIA, N-I pk 436,800, N-I pk 444,700 ; 108 ; España ; 71 ; TOLOSA ; 20 ; Gipuzkoa ; 20400 ; 575944.0 ; 4778800.0 ; -2.06587 ; 43.158142 ; 
GI-20 ; 16 ; 1 ; [GI-20] 16-ETD USURBIL, AP-8-ERRENTERIA,AP-8, GI-20 pk 7,000, GI-20 pk 9,800 ; 108 ; España ; 69 ; DONOSTIA-SAN SEBASTIAN ; 20 ; Gipuzkoa ; 0 ; 583607.0 ; 4795202.0 ; -1.969142 ; 43.305006 ; 
N-I ; 30 ; 1 ; [N-I] 30-ETD VITORIA-GASTEIZ-LASARTE-ORIA, N-I pk 405,500, N-I pk 412,500 ; 108 ; España ; 170 ; GIPUZKOA ETA ARABAKO PARTZUERGO OROKORRA ; 20 ; Gipuzkoa ; 0 ; 562152.0 ; 4757540.0 ; -2.237874 ; 42.967972 ; 
GI-2631 ; 32 ; 1 ; [GI-2631] 32-ETD VILLABONA-ALTO DE ORIO, GI-2631 pk 0,900, GI-2631 pk 4,700 ; 108 ; España ; 75 ; VILLABONA ; 20 ; Gipuzkoa ; 20150 ; 576390.25 ; 4782568.96 ; -2.059862 ; 43.192031 ; 
N-I ; 33 ; 1 ; [N-I] 33-ETD VITORIA-GASTEIZ-LASARTE-ORIA, N-I pk 447,700, N-I pk 453,400 ; 108 ; España ; 9 ; ANDOAIN ; 20 ; Gipuzkoa ; 20140 ; 578978.0 ; 4788249.0 ; -2.027206 ; 43.242905 ; 
GI-20-10 ; 34 ; 1 ; [GI-20-10] 34-ETD SAN SEBASTIÁN-A GI-20 AÑORGA, GI-20-10 pk 0,000, GI-20-10 pk 0,000 ; 108 ; España ;  ;  ; 20 ; Gipuzkoa ;  ; 581046.27 ; 4794501.34 ; -2.000813 ; 43.298978 ; 
GI-636 ; 36 ; 1 ; [GI-636] 36-ETD PASAIA-IRUN, GI-636 pk 4,500, GI-636 pk 7,900 ; 108 ; España ; 63 ; OIARTZUN ; 20 ; Gipuzkoa ; 20180 ; 590859.07 ; 4796040.7 ; -1.879602 ; 43.311716 ; 
N-634 ; 40 ; 1 ; [N-634] 40-ETD SAN SEBASTIÁN-SANTANDER, N-634 pk 22,800, N-634 pk 27,700 ; 108 ; España ; 39 ; GETARIA ; 20 ; Gipuzkoa ; 20808 ; 562876.11 ; 4795500.98 ; -2.224688 ; 43.309715 ; 
N-634 ; 45 ; 1 ; [N-634] 45-ETD SANTANDER-SAN SEBASTIÁN, N-634 pk 54,000, N-634 pk 57,600 ; 108 ; España ; 32 ; ELGOIBAR ; 20 ; Gipuzkoa ; 20870 ; 548442.97 ; 4786953.96 ; -2.403402 ; 43.233825 ; 
GI-2135 ; 48 ; 1 ; [GI-2135] 48-ETD NAVARRA-TOLOSA, GI-2135 pk 2,300, GI-2135 pk 11,200 ; 108 ; España ; 50 ; LEABURU ; 20 ; Gipuzkoa ; 20491 ; 576157.62 ; 4773431.39 ; -2.063981 ; 43.109784 ; 
GI-627 ; 52 ; 1 ; [GI-627] 52-ETD ARABA-EIBAR, GI-627 pk 19,300, GI-627 pk 27,200 ; 108 ; España ; 68 ; LEINTZ-GATZAGA ; 20 ; Gipuzkoa ; 20530 ; 537625.0 ; 4762389.9399999995 ; -2.538291 ; 43.013253 ; 
N-634 ; 55 ; 1 ; [N-634] 55-ETD SAN SEBASTIÁN-SANTANDER, N-634 pk 29,800, N-634 pk 31,000 ; 108 ; España ; 81 ; ZUMAIA ; 20 ; Gipuzkoa ; 20750 ; 559623.26 ; 4792714.65 ; -2.265098 ; 43.284893 ; 
GI-631 ; 58 ; 1 ; [GI-631] 58-ETD ZUMARRAGA-ZUMAIA, GI-631 pk 8,200, GI-631 pk 13,500 ; 108 ; España ; 18 ; AZPEITIA ; 20 ; Gipuzkoa ; 20730 ; 560191.93 ; 4782420.53 ; -2.259213 ; 43.192159 ; 
GI-3321 ; 62 ; 1 ; [GI-3321] 62-ETD ALTO AZKARATE-ELGOIBAR, GI-3321 pk 0,000, GI-3321 pk 5,400 ; 108 ; España ;  ;  ; 20 ; Gipuzkoa ;  ; 551232.88 ; 4783506.05 ; -2.369365 ; 43.202595 ; 
A-15 ; 69 ; 1 ; [A-15] 69-ETD SAN SEBASTIÁN-ANDOAIN, A-15 pk 167,000, A-15 pk 169,300 ; 108 ; España ; 40 ; HERNANI ; 20 ; Gipuzkoa ; 20120 ; 584472.0 ; 4791905.0 ; -1.958985 ; 43.275226 ; 
GI-2132 ; 71 ; 1 ; [GI-2132] 71-ETD LASARTE-ORIA-ASTIGARRAGA, GI-2132 pk 1,000, GI-2132 pk 2,500 ; 108 ; España ; 40 ; HERNANI ; 20 ; Gipuzkoa ; 20120 ; 581997.9 ; 4792136.64 ; -1.989436 ; 43.277584 ; 
GI-3440 ; 77 ; 1 ; [GI-3440] 77-ETD LEZO-HONDARRIBIA, GI-3440 pk 0,000, GI-3440 pk 19,100 ; 108 ; España ;  ;  ; 20 ; Gipuzkoa ;  ; 596641.88 ; 4801978.39 ; -1.807262 ; 43.36445 ; 
GI-2630 ; 82 ; 1 ; [GI-2630] 82-ETD URRETXU-BERGARA, GI-2630 pk 13,800, GI-2630 pk 20,200 ; 108 ; España ; 59 ; OÑATI ; 20 ; Gipuzkoa ; 20560 ; 549151.23 ; 4764498.09 ; -2.39667 ; 43.031578 ; 
GI-636 ; 84 ; 1 ; [GI-636] 84-ETD IRUN-PASAIA, GI-636 pk 9,500, GI-636 pk 12,500 ; 108 ; España ; 45 ; IRUN ; 20 ; Gipuzkoa ; 0 ; 596038.07 ; 4799835.18 ; -1.815089 ; 43.345233 ; 
GI-2632 ; 87 ; 1 ; [GI-2632] 87-ETD BIZKAIA-BEASAIN, GI-2632 pk 5,900, GI-2632 pk 9,700 ; 108 ; España ; 62 ; ORMAIZTEGI ; 20 ; Gipuzkoa ; 20216 ; 558184.35 ; 4768751.52 ; -2.285353 ; 43.069239 ; 
GI-627 ; 89 ; 1 ; [GI-627] 89-ETD EIBAR-ARABA, GI-627 pk 37,000, GI-627 pk 39,400 ; 108 ; España ; 55 ; ARRASATE ; 20 ; Gipuzkoa ; 20500 ; 544750.21 ; 4769879.9 ; -2.450257 ; 43.080311 ; 
GI-2132 ; 93 ; 1 ; [GI-2132] 93-ETD ASTIGARRAGA-ERRENTERIA, GI-2132 pk 10,100, GI-2132 pk 15,200 ; 108 ; España ; 84 ; ASTIGARRAGA ; 20 ; Gipuzkoa ; 20115 ; 588457.13 ; 4793041.22 ; -1.909698 ; 43.284998 ; 
N-I ; 96 ; 1 ; [N-I] 96-ETD VITORIA-GASTEIZ-LASARTE-ORIA, N-I pk 444,700, N-I pk 447,700 ; 108 ; España ; 9 ; ANDOAIN ; 20 ; Gipuzkoa ; 20140 ; 578275.72 ; 4784119.36 ; -2.03644 ; 43.205798 ; 
GI-2120 ; 97 ; 1 ; [GI-2120] 97-ETD NAVARRA-BEASAIN, GI-2120 pk 60,900, GI-2120 pk 63,400 ; 108 ; España ; 15 ; ATAUN ; 20 ; Gipuzkoa ; 20211 ; 567051.87 ; 4762914.9399999995 ; -2.177151 ; 43.015953 ; 
N-I ; 100 ; 1 ; [N-I] 100-ETD VITORIA-GASTEIZ-LASARTE-ORIA, N-I pk 433,300, N-I pk 436,800 ; 108 ; España ; 71 ; TOLOSA ; 20 ; Gipuzkoa ; 20400 ; 574660.72 ; 4775440.77 ; -2.082106 ; 43.128024 ; 
GI-636 ; 101 ; 1 ; [GI-636] 101-ETD PASAIA-IRUN, GI-636 pk 0,000, GI-636 pk 2,100 ; 108 ; España ;  ;  ; 20 ; Gipuzkoa ;  ; 588445.96 ; 4796749.07 ; -1.909239 ; 43.318381 ; 
GI-636 ; 102 ; 1 ; [GI-636] 102-ETD PASAIA-PTE. BEHOBIA, GI-636 pk 15,300, GI-636 pk 17,000 ; 108 ; España ; 45 ; IRUN ; 20 ; Gipuzkoa ; 0 ; 600120.81 ; 4799576.46 ; -1.764774 ; 43.342371 ; 
GI-636 ; 103 ; 1 ; [GI-636] 103-ETD PASAIA-PTE. BEHOBIA, GI-636 pk 12,500, GI-636 pk 15,300 ; 108 ; España ; 36 ; HONDARRIBIA ; 20 ; Gipuzkoa ; 20280 ; 598589.71 ; 4799517.54 ; -1.783671 ; 43.342043 ; 
N-634 ; 104 ; 1 ; [N-634] 104-ETD SAN SEBASTIÁN-SANTANDER, N-634 pk 0,100, N-634 pk 4,000 ; 108 ; España ; 69 ; DONOSTIA-SAN SEBASTIAN ; 20 ; Gipuzkoa ; 0 ; 578637.92 ; 4791866.82 ; -2.030877 ; 43.275514 ; 
N-634 ; 106 ; 1 ; [N-634] 106-ETD SAN SEBASTIÁN-SANTANDER, N-634 pk 58,200, N-634 pk 60,700 ; 108 ; España ; 32 ; ELGOIBAR ; 20 ; Gipuzkoa ; 20870 ; 545736.33 ; 4782571.51 ; -2.437097 ; 43.194533 ; 
N-I ; 107 ; 1 ; [N-I] 107-ETD VITORIA-GASTEIZ-LASARTE-ORIA, N-I pk 426,300, N-I pk 433,300 ; 108 ; España ; 52 ; LEGORRETA ; 20 ; Gipuzkoa ; 20250 ; 571613.83 ; 4771578.72 ; -2.120059 ; 43.093546 ; 
N-I ; 111 ; 1 ; [N-I] 111-ETD LASARTE-ORIA-VITORIA-GASTEIZ, N-I pk 417,900, N-I pk 426,300 ; 108 ; España ;  ;  ; 20 ; Gipuzkoa ;  ; 568840.83 ; 4769923.57 ; -2.154333 ; 43.0789 ; 
GI-627 ; 112 ; 1 ; [GI-627] 112-ETD ARABA-EIBAR, GI-627 pk 27,200, GI-627 pk 37,000 ; 108 ; España ; 34 ; ESKORIATZA ; 20 ; Gipuzkoa ; 20540 ; 541083.02 ; 4766459.49 ; -2.495559 ; 43.049719 ; 
GI-20 ; 116 ; 1 ; [GI-20] 116-ETD ERRENTERIA AP-8-USURBIL, AP-8, GI-20 pk 9,800, GI-20 pk 10,900 ; 108 ; España ; 69 ; DONOSTIA-SAN SEBASTIAN ; 20 ; Gipuzkoa ; 0 ; 581675.0 ; 4794313.0 ; -1.993091 ; 43.297214 ; 
GI-20 ; 117 ; 1 ; [GI-20] 117-ETD ERRENTERIA AP-8-USURBIL, AP-8, GI-20 pk 5,000, GI-20 pk 7,000 ; 108 ; España ; 69 ; DONOSTIA-SAN SEBASTIAN ; 20 ; Gipuzkoa ; 0 ; 584777.0 ; 4796279.0 ; -1.954552 ; 43.314571 ; 
N-638 ; 118 ; 1 ; [N-638] 118-ETD HONDARRIBIA-IRUN, N-638 pk 1,000, N-638 pk 2,400 ; 108 ; España ; 36 ; HONDARRIBIA ; 20 ; Gipuzkoa ; 20280 ; 597554.86 ; 4800818.5 ; -1.796204 ; 43.35389 ; 
GI-2132 ; 119 ; 1 ; [GI-2132] 119-ETD ASTIGARRAGA-LASARTE-ORIA, GI-2132 pk 2,500, GI-2132 pk 5,200 ; 108 ; España ; 40 ; HERNANI ; 20 ; Gipuzkoa ; 20120 ; 582332.01 ; 4792029.62 ; -1.985335 ; 43.276585 ; 
A-15 ; 120 ; 1 ; [A-15] 120-ETD ANDOAIN-SAN SEBASTIÁN, A-15 pk 162,100, A-15 pk 164,300 ; 108 ; España ; 72 ; URNIETA ; 20 ; Gipuzkoa ; 20130 ; 581451.78 ; 4789138.49 ; -1.996609 ; 43.250651 ; 
GI-627 ; 127 ; 1 ; [GI-627] 127-ETD ARABA-EIBAR, GI-627 pk 39,400, GI-627 pk 44,500 ; 108 ; España ; 74 ; BERGARA ; 20 ; Gipuzkoa ; 20570 ; 545479.67 ; 4770860.34 ; -2.441216 ; 43.089096 ; 
N-638 ; 128 ; 1 ; [N-638] 128-ETD HONDARRIBIA-IRUN, N-638 pk 0,000, N-638 pk 1,000 ; 108 ; España ;  ;  ; 20 ; Gipuzkoa ;  ; 596511.86 ; 4800196.82 ; -1.809181 ; 43.348428 ; 
GI-2634 ; 131 ; 1 ; [GI-2634] 131-ETD TOLOSA-ELGOIBAR, GI-2634 pk 28,800, GI-2634 pk 38,800 ; 108 ; España ; 17 ; AZKOITIA ; 20 ; Gipuzkoa ; 20720 ; 552423.44 ; 4783496.91 ; -2.354711 ; 43.202431 ; 
GI-2130 ; 132 ; 1 ; [GI-2130] 132-ETD NAVARRA-TOLOSA, GI-2130 pk 11,700, GI-2130 pk 16,100 ; 108 ; España ; 22 ; BERASTEGI ; 20 ; Gipuzkoa ; 20492 ; 583397.7 ; 4774934.1899999995 ; -1.974783 ; 43.122552 ; 
N-636 ; 133 ; 1 ; [N-636] 133-ETD BIZKAIA-BERGARA, N-636 pk 29,700, N-636 pk 34,000 ; 108 ; España ; 74 ; BERGARA ; 20 ; Gipuzkoa ; 20570 ; 541103.23 ; 4770895.88 ; -2.494053 ; 43.091808 ; 
A-15 ; 134 ; 1 ; [A-15] 134-ETD NAVARRA-ANDOAIN, A-15 pk 139,000, A-15 pk 156,000 ; 108 ; España ;  ;  ; 20 ; Gipuzkoa ;  ; 580942.0 ; 4778272.0 ; -2.004769 ; 43.152889 ; 
GI-631 ; 158 ; 1 ; [GI-631] 158-ETD ZUMARRAGA-ZUMAIA, GI-631 pk 13,500, GI-631 pk 19,000 ; 108 ; España ; 18 ; AZPEITIA ; 20 ; Gipuzkoa ; 20730 ; 557697.34 ; 4780424.82 ; -2.29012 ; 43.174385 ; 
N-I ; 168 ; 1 ; [N-I] 168-ETD VITORIA-GASTEIZ-LASARTE-ORIA, N-I pk 412,500, N-I pk 417,900 ; 108 ; España ; 43 ; IDIAZABAL ; 20 ; Gipuzkoa ; 20213 ; 563592.6 ; 4764533.26 ; -2.219414 ; 43.030823 ; 
AP-636 ; 170 ; 1 ; [AP-636] 170-ETD BEASAIN-BERGARA, AP-636 pk 2,800, AP-636 pk 5,000 ; 108 ; España ; 19 ; BEASAIN ; 20 ; Gipuzkoa ; 20200 ; 560577.86 ; 4766245.85 ; -2.256469 ; 43.046628 ; 
GI-3630 ; 190 ; 1 ; [GI-3630] 190-ETD ASTEASU-ANOETA, GI-3630 pk 0,000, GI-3630 pk 9,000 ; 108 ; España ;  ;  ; 20 ; Gipuzkoa ;  ; 574583.83 ; 4781960.7 ; -2.082172 ; 43.186735 ; 
GI-3420 ; 191 ; 1 ; [GI-3420] 191-ETD ALTO ARITXULEGI-OIARTZUN, GI-3420 pk 0,000, GI-3420 pk 8,700 ; 108 ; España ;  ;  ; 20 ; Gipuzkoa ;  ; 594971.77 ; 4793249.65 ; -1.829381 ; 43.28608 ; 
GI-3591 ; 206 ; 1 ; [GI-3591] 206-ETD ARANTZAZU-OÑATI, GI-3591 pk 0,000, GI-3591 pk 2,900 ; 108 ; España ;  ;  ; 20 ; Gipuzkoa ;  ; 546464.76 ; 4762176.93 ; -2.429839 ; 43.010845 ; 
